,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,CLOUD_SHADOW_PERCENTAGE,HIGH_PROBA_CLOUDS_PERCENTAGE,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,MEDIUM_PROBA_CLOUDS_PERCENTAGE,NODATA_PIXEL_PERCENTAGE,NOT_VEGETATED_PERCENTAGE,SNOW_ICE_PERCENTAGE,THIN_CIRRUS_PERCENTAGE,VEGETATION_PERCENTAGE,WATER_PERCENTAGE,Systemindex
0,1.605434,1.605434,1.921054,0.636902,157.299610739,54.9544066767,0.967481,41.003704,6.41626,2.614002,0.001052,71.063453,0.726967,20190101T041149_20190101T041501_T46RGS
1,23.925822,23.925822,2.627943,1.503567,157.498342252,55.7996054577,22.422256,59.414923,3.101088,23.670059,0.0,22.446749,0.901337,20190101T041149_20190101T041501_T46RGT
2,48.017871,48.017871,3.501682,2.849462,157.689157882,56.6457915202,45.168409,77.496147,4.499635,19.574451,0.0,2.508314,0.58412,20190101T041149_20190101T041501_T46RGU
3,38.097921,38.097921,3.583043,4.981494,157.872259016,57.4924081484,33.116427,94.548923,13.353938,27.998716,0.0,0.625456,0.205604,20190101T041149_20190101T041501_T46RGV
4,2.381934,2.381934,2.533234,1.501112,158.075552356,53.796976062,0.877215,0.000169,3.125572,1.581023,0.003606,80.180109,0.253736,20190101T041149_20190101T041501_T47RKL
5,11.00471,11.00471,2.56945,0.783852,158.231035608,54.6610717234,10.220663,0.000747,3.609437,13.958502,0.000196,43.595925,0.685431,20190101T041149_20190101T041501_T47RKM
6,42.650485,42.650485,2.049318,1.658303,158.37692797,55.5253275277,40.992182,0.000415,1.910267,22.389925,0.0,7.561469,1.090651,20190101T041149_20190101T041501_T47RKN
7,64.36922,64.36922,2.002282,4.706782,158.51372611,56.3907185132,59.662437,7.441545,5.239961,12.405036,0.0,0.558748,0.324541,20190101T041149_20190101T041501_T47RKP
8,43.849164,43.849164,4.852651,2.856225,158.641584158,57.2566835484,40.992939,29.500315,13.715434,21.092552,0.0,0.776702,0.173197,20190101T041149_20190101T041501_T47RKQ
9,8.635008,8.635008,5.470702,6.310086,159.148927201,53.4870522768,2.269789,0.000123,1.950656,2.142315,0.055133,71.314007,0.258749,20190101T041149_20190101T041501_T47RLL
10,33.904849,33.904849,3.278906,1.928692,159.303969084,54.3538998129,31.976157,0.000959,2.912188,15.421088,0.0,19.229847,0.835088,20190101T041149_20190101T041501_T47RLM
11,49.354424,49.354424,3.41685,1.207541,159.450077815,55.2207716972,48.146883,0.000584,8.77696,11.871954,0.0,2.934181,0.537629,20190101T041149_20190101T041501_T47RLN
12,54.690005,54.690005,3.007344,4.772811,159.587701296,56.0886670993,49.917194,0.000272,11.127346,14.917579,0.0,0.147684,0.169034,20190101T041149_20190101T041501_T47RLP
13,37.314064,37.314064,5.624912,2.320198,159.717017962,56.957021744,34.993866,0.000428,17.328666,21.545106,0.0,1.056822,0.180229,20190101T041149_20190101T041501_T47RLQ
14,20.801475,20.801475,4.055096,1.024652,160.385856892,54.0552628107,19.776823,46.632659,9.478569,14.282942,0.0,20.59665,0.846517,20190101T041149_20190101T041501_T47RMM
15,30.349567,30.349567,5.805166,1.270261,160.531853567,54.9244918617,29.079306,23.800187,14.798173,12.201492,0.0,13.239652,0.414235,20190101T041149_20190101T041501_T47RMN
16,42.225426,42.225426,4.027513,4.403472,160.669993129,55.7946365189,37.821954,3.62744,18.82138,11.554734,0.0,8.101929,0.116126,20190101T041149_20190101T041501_T47RMP
17,31.033748,31.033748,7.872456,2.219736,160.800488035,56.6651268206,28.814012,0.000853,16.882765,17.378487,0.0,8.013114,0.250642,20190101T041149_20190101T041501_T47RMQ
18,45.901688,45.901688,6.077057,3.478234,161.76130517,55.5085035806,42.423454,91.698712,8.476081,4.61056,0.0,12.024458,0.468662,20190101T041149_20190101T041501_T47RNP
19,27.446624,27.446624,4.845482,3.196203,158.760669525,58.1226581975,24.250421,52.13927,29.918537,18.987948,0.0,2.392627,0.245943,20190101T041149_20190101T041501_T47SKR
20,32.142652,32.142652,3.713534,2.733133,159.83819021,57.8252765673,29.409519,0.000249,19.185416,29.310355,0.0,1.72103,0.311436,20190101T041149_20190101T041501_T47SLR
21,57.455748,57.455748,1.67814,26.808915,159.951626415,58.6944240407,30.646834,3e-06,12.086426,16.912811,0.0,0.213324,0.493857,20190101T041149_20190101T041501_T47SLS
22,40.085035,40.085035,3.6324,9.167861,160.923490048,57.5354101148,30.917174,9.3e-05,18.624265,21.075279,0.0,1.312512,0.39558,20190101T041149_20190101T041501_T47SMR
23,83.84383,83.84383,0.313002,31.618413,161.039436652,58.4064802197,52.225417,0.0,4.904738,6.878915,0.0,0.023835,0.058334,20190101T041149_20190101T041501_T47SMS
24,12.555131,12.555131,3.795511,3.217123,156.884949942,54.0877173998,9.338008,25.687182,4.86214,5.555234,0.0,56.663579,0.296268,20190102T043151_20190102T043514_T46RBR
25,69.73508,69.73508,0.755049,5.558902,157.050909717,54.9461286248,64.176178,48.171264,1.142919,16.004805,0.0,0.696923,2.07282,20190102T043151_20190102T043514_T46RBS
26,47.122629,47.122629,0.906176,3.608407,157.206919368,55.8047927698,43.514222,70.232373,13.847461,17.905457,0.0,0.00311,11.3142,20190102T043151_20190102T043514_T46RBT
27,71.159839,71.159839,1.077474,4.298328,157.35339296,56.6647076703,66.86151,91.854393,13.02052,0.863103,0.0,0.00057,0.009653,20190102T043151_20190102T043514_T46RBU
28,0.053815,0.053815,0.056158,0.0015,157.772015769,52.8997921601,0.052316,6.3e-05,27.690545,0.002807,0.0,57.963127,2.783108,20190102T043151_20190102T043514_T46RCQ
29,9.996782,9.996782,2.989924,1.070031,157.947679943,53.760367159,8.926751,0.000438,6.034144,7.742523,0.0,54.493535,0.265972,20190102T043151_20190102T043514_T46RCR
30,76.8488,76.8488,0.938098,4.356659,158.113723677,54.6216494587,72.492141,0.000564,1.374748,10.205508,0.0,1.455299,0.28164,20190102T043151_20190102T043514_T46RCS
31,60.994965,60.994965,1.859372,5.615765,158.270388252,55.4830638814,55.3792,0.003497,8.265935,16.114508,0.0,0.00364,1.197656,20190102T043151_20190102T043514_T46RCT
32,68.087155,68.087155,1.705567,5.168403,158.418140637,56.3456005155,62.918752,3.641302,7.773107,9.703261,0.0,0.0049,0.495916,20190102T043151_20190102T043514_T46RCU
33,93.286937,93.286937,0.057585,6.665725,158.557189814,57.2086844986,86.621213,23.151724,0.219841,1.882023,0.0,0.0,1.791928,20190102T043151_20190102T043514_T46RCV
34,0.090609,0.090609,0.021401,0.004353,158.845306901,52.5782838699,0.086245,5.41408,31.094149,0.0,1.1e-05,55.556053,3.607224,20190102T043151_20190102T043514_T46RDQ
35,20.807775,20.807775,2.280182,6.119699,159.020058922,53.4416118692,14.688076,0.000295,2.433695,5.384255,0.0,56.13358,0.237312,20190102T043151_20190102T043514_T46RDR
36,65.592885,65.592885,2.505572,5.814904,159.185832434,54.3055107429,59.777981,0.00078,3.329305,12.374565,0.0,2.40015,0.282466,20190102T043151_20190102T043514_T46RDS
37,65.260435,65.260435,3.129033,4.740603,159.342812582,55.1694262819,60.519832,0.000723,7.970137,6.61057,0.0,0.297606,0.309109,20190102T043151_20190102T043514_T46RDT
38,74.518624,74.518624,1.548007,4.428968,159.491538348,56.034335641,70.089656,0.000627,2.34863,6.425251,0.0,0.289493,0.274072,20190102T043151_20190102T043514_T46RDU
39,0.064433,0.064433,0.035926,0.000837,159.92937347,52.2655144468,0.063596,94.052577,18.63364,0.0,0.0,76.013452,1.270307,20190102T043151_20190102T043514_T46REQ
40,0.47305,0.47305,2.142135,0.319038,160.102849356,53.1313242984,0.154012,73.338777,1.045955,0.342794,0.0,83.642352,0.078388,20190102T043151_20190102T043514_T46RER
41,24.208864,24.208864,7.546391,7.073136,160.267989906,53.9975803546,17.135727,51.38514,4.509176,13.113225,0.0,29.353908,0.4614,20190102T043151_20190102T043514_T46RES
42,45.036578,45.036578,4.570737,2.398208,160.424938331,54.8637426969,42.63837,29.557091,10.563833,7.759805,0.0,7.323309,0.526259,20190102T043151_20190102T043514_T46RET
43,43.90178,43.90178,2.917754,1.381101,160.57431896,55.7307726563,42.520678,7.93709,7.951805,9.307498,0.0,7.422643,1.300987,20190102T043151_20190102T043514_T46REU
44,68.271487,68.271487,1.132887,1.416563,160.716225613,56.5981364862,66.854924,0.000365,4.236647,10.117578,0.0,0.113918,0.330624,20190102T043151_20190102T043514_T46REV
45,33.208376,33.208376,1.902585,0.583043,161.665245463,55.4353316132,32.625332,96.270412,7.4197,12.281714,0.0,10.043216,1.692551,20190102T043151_20190102T043514_T46RFU
46,52.177257,52.177257,2.927239,1.086462,161.808131274,56.3044507425,51.090795,76.802415,9.905266,12.84778,0.0,0.609974,0.380147,20190102T043151_20190102T043514_T46RFV
47,80.81602,80.81602,0.738993,4.277373,161.944530547,57.1732066255,76.538646,54.99233,2.669403,6.92469,0.0,0.013254,0.127516,20190102T043151_20190102T043514_T46SFA
48,94.756117,94.756117,0.078727,15.46807,162.074764081,58.0426342633,79.288048,33.337364,0.027165,1.841502,0.0,0.0,0.094813,20190102T043151_20190102T043514_T46SFB
49,65.440902,65.440902,4.339105,55.884808,156.346770906,55.099937987,9.556094,94.639361,0.710465,15.756185,0.0,1.741534,0.311691,20190103T040141_20190103T040142_T47RLM
50,43.513426,43.513426,7.179166,29.764086,157.402357972,54.7580329047,13.74934,5.775677,7.691907,10.189081,0.0,9.682435,0.515914,20190103T040141_20190103T040142_T47RMM
51,28.036091,28.036091,6.244358,10.547001,157.574533962,55.6133553354,17.489091,25.697905,17.421642,11.736465,0.0,14.765191,0.427239,20190103T040141_20190103T040142_T47RMN
52,32.618854,32.618854,5.812004,8.507784,157.737829298,56.4698218749,24.11107,46.417338,19.326492,8.808246,0.0,13.077685,0.597671,20190103T040141_20190103T040142_T47RMP
53,20.8371,20.8371,11.292718,8.176005,157.892497137,57.3268472858,12.661095,67.098421,18.352087,12.206361,0.0,12.633324,0.534731,20190103T040141_20190103T040142_T47RMQ
54,23.921359,23.921359,5.360303,3.379612,158.641345184,55.2817486502,20.541747,0.000226,17.616186,8.493889,0.0,24.475685,0.417299,20190103T040141_20190103T040142_T47RNN
55,45.708917,45.708917,4.72241,5.373453,158.80597825,56.140520807,40.335464,0.000488,11.310545,13.19833,0.0,7.402015,0.593382,20190103T040141_20190103T040142_T47RNP
