,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,CLOUD_SHADOW_PERCENTAGE,HIGH_PROBA_CLOUDS_PERCENTAGE,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,MEDIUM_PROBA_CLOUDS_PERCENTAGE,NODATA_PIXEL_PERCENTAGE,NOT_VEGETATED_PERCENTAGE,SNOW_ICE_PERCENTAGE,THIN_CIRRUS_PERCENTAGE,VEGETATION_PERCENTAGE,WATER_PERCENTAGE,Systemindex
3067,91.377652,91.377652,0.049914,82.670283,119.648343595285,17.2458360411327,8.707368,11.328204,2.338103,3.073914,0.0,0.17363,0.000535,20200604T040549_20200604T041920_T47SMR
3068,97.014895,97.014895,0.0,94.970661,121.981373346227,17.7556825531114,2.044233,97.847873,0.769902,1.189232,0.0,0.022971,0.0,20200604T040549_20200604T041920_T47SMS
3069,99.441476,99.441476,0.0,20.450439,101.89453187053,17.7452503981516,78.991038,24.387762,0.001172,0.54771,0.0,1.3e-05,0.000619,20200605T042711_20200605T042710_T46RBR
3070,90.728512,90.728512,0.0021,46.935725,104.527600205697,18.0217217289942,43.792787,46.925774,4.771363,1.775362,0.0,0.010321,1.83123,20200605T042711_20200605T042710_T46RBS
3071,69.056574,69.056574,0.003012,58.618665,107.069746054794,18.3368545832995,10.43791,68.932921,21.893147,0.0275,0.0,0.522788,6.112469,20200605T042711_20200605T042710_T46RBT
3072,80.144446,80.144446,0.004584,73.309702,109.517863476005,18.6889927725731,6.834744,90.80776,15.751998,1.142192,0.0,0.078324,0.007219,20200605T042711_20200605T042710_T46RBU
3073,93.102037,93.102037,0.013985,67.565954,100.153931667993,16.6376402249286,20.783554,0.0,0.09699,0.023391,4.752529,0.567931,0.370798,20200605T042711_20200605T042710_T46RCQ
3074,98.388139,98.388139,0.000969,41.351217,103.015278910806,16.8823706346532,57.036918,0.0,0.016019,1.441794,3e-06,0.062415,0.0,20200605T042711_20200605T042710_T46RCR
3075,89.042971,89.042971,0.00496,43.837324,105.784346516698,17.1695489003947,45.205647,0.0,8.132853,1.224767,0.0,0.023013,0.226661,20200605T042711_20200605T042710_T46RCS
3076,89.261796,89.261796,0.002346,76.254201,108.450646580807,17.496831328921,13.007595,0.0,8.688129,0.251243,0.0,0.093099,0.086619,20200605T042711_20200605T042710_T46RCT
3077,87.9602,87.9602,0.010601,72.520947,111.010874052532,17.8623540503886,15.439253,2.978471,7.707223,1.836482,0.0,0.348966,0.016945,20200605T042711_20200605T042710_T46RCU
3078,89.744797,89.744797,0.004522,33.953938,113.459116702144,18.2636362274176,55.790859,21.856776,5.93459,3.425016,0.0,0.006352,0.328875,20200605T042711_20200605T042710_T46RCV
3079,99.225281,99.225281,0.0,83.369464,101.186335248218,15.7675643444589,14.170673,6.312633,0.005376,0.112397,1.685144,0.004019,0.087193,20200605T042711_20200605T042710_T46RDQ
3080,93.772387,93.772387,0.001025,47.914079,104.207358599766,16.022168430985,45.858195,0.0,0.015425,6.008139,0.000113,0.083437,0.000554,20200605T042711_20200605T042710_T46RDR
3081,83.068298,83.068298,0.048079,66.441864,107.122730122327,16.321090671066,16.626434,0.0,7.835817,4.293659,0.0,0.276167,0.019525,20200605T042711_20200605T042710_T46RDS
3082,92.747022,92.747022,0.012399,76.484585,109.921194338826,16.6616325013119,16.262437,0.0,1.942004,3.466973,0.0,0.126582,0.003338,20200605T042711_20200605T042710_T46RDT
3083,75.018796,75.018796,0.023603,58.157754,112.599324448571,17.0416910397282,16.861042,0.0,1.978889,21.679245,0.0,0.119091,0.007843,20200605T042711_20200605T042710_T46RDU
3084,98.942378,98.942378,0.0,92.436099,102.288494131116,14.8987178687218,6.489006,94.909787,0.026529,0.217443,0.017273,0.000847,0.015383,20200605T042711_20200605T042710_T46REQ
3085,84.206218,84.206218,0.0,29.190183,105.483682138077,15.1642480455343,55.015552,74.576676,0.000405,15.789148,0.000483,0.0,0.0,20200605T042711_20200605T042710_T46RER
3086,84.188307,84.188307,0.053469,73.875195,108.556937872355,15.4761117915242,10.313056,52.691466,0.639856,13.291341,5.6e-05,0.345126,0.002588,20200605T042711_20200605T042710_T46RES
3087,92.436808,92.436808,0.026279,88.260764,111.49625200257,15.8311994230127,4.176044,30.812353,0.775798,4.860231,0.0,0.244451,0.002848,20200605T042711_20200605T042710_T46RET
3088,89.110869,89.110869,5.1e-05,77.807641,114.298267935784,16.2271008567111,11.303228,9.006921,0.003231,10.818729,0.0,0.001491,0.002352,20200605T042711_20200605T042710_T46REU
3089,96.465647,96.465647,0.0,44.576591,116.957833210462,16.6606345763643,51.889056,0.0,0.0,3.531392,0.0,7e-06,0.000952,20200605T042711_20200605T042710_T46REV
3090,93.138144,93.138144,0.0,86.032557,116.122329976777,15.4203479421706,7.105587,96.935791,0.010286,6.559111,0.0,0.02014,0.000325,20200605T042711_20200605T042710_T46RFU
3091,99.508631,99.508631,0.0,44.036174,118.892190855345,15.8720680557551,55.472457,78.041798,0.0,0.490539,0.0,0.0,0.0,20200605T042711_20200605T042710_T46RFV
3092,99.999969,99.999969,0.0,12.128662,121.499398933732,16.358826371635,87.871307,56.281978,0.0,0.0,0.0,0.0,0.0,20200605T042711_20200605T042710_T46SFA
3093,95.971751,95.971751,5e-06,56.498307,123.950750480822,16.8780265606572,39.473444,34.592,0.74972,2.972369,0.0,2e-05,0.000122,20200605T042711_20200605T042710_T46SFB
3094,99.490886,99.490886,0.0,97.577596,103.630115830614,18.473852532713,1.91329,93.7751,0.000107,0.495632,0.0,0.000906,0.0,20200606T035541_20200606T035746_T47RLM
