,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,CLOUD_SHADOW_PERCENTAGE,HIGH_PROBA_CLOUDS_PERCENTAGE,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,MEDIUM_PROBA_CLOUDS_PERCENTAGE,NODATA_PIXEL_PERCENTAGE,NOT_VEGETATED_PERCENTAGE,SNOW_ICE_PERCENTAGE,THIN_CIRRUS_PERCENTAGE,VEGETATION_PERCENTAGE,WATER_PERCENTAGE,Systemindex
0,67.973976,67.973976,1.618777,12.417318,157.019903011046,54.112950149725,49.283484,25.103855,0.243167,2.296138,6.273174,14.571357,0.004014,20220101T043149_20220101T043421_T46RBR
1,87.353059,87.353059,0.220372,7.996108,157.184244904634,54.9720264399405,79.356951,47.642505,0.115579,1.165152,0.0,0.003466,2.824626,20220101T043149_20220101T043421_T46RBS
2,57.390623,57.390623,0.320926,1.658253,157.338676051164,55.8313486612307,55.732369,69.637406,21.498534,0.313299,0.0,0.010927,11.939866,20220101T043149_20220101T043421_T46RBT
3,81.557184,81.557184,0.532335,3.0025,157.483670679179,56.6918949600413,78.554684,91.445112,7.001141,1.574007,0.0,0.000271,0.003452,20220101T043149_20220101T043421_T46RBU
4,79.332573,79.332573,0.703037,8.983607,157.908654525571,52.9263123821812,48.604128,0.0,1.204681,0.033991,21.744838,13.878846,0.229103,20220101T043149_20220101T043421_T46RCQ
5,37.068537,37.068537,5.3466,3.077526,158.082597302374,53.7875480925667,26.834679,4e-05,1.43554,7.78791,7.156333,27.247313,0.093188,20220101T043149_20220101T043421_T46RCR
6,91.177526,91.177526,0.202481,5.733189,158.246973641096,54.6494803247082,85.444337,0.0,0.065259,1.601189,0.0,0.06061,0.111148,20220101T043149_20220101T043421_T46RCS
7,72.056294,72.056294,0.511163,3.624654,158.402046621084,55.511527324235,68.43164,3.6e-05,15.991582,0.148039,0.0,0.01424,0.892874,20220101T043149_20220101T043421_T46RCT
8,69.301466,69.301466,1.024349,2.515338,158.548276422376,56.374681155666,66.786128,3.349362,13.154951,3.709632,0.0,0.010247,0.473406,20220101T043149_20220101T043421_T46RCU
9,92.170432,92.170432,0.003925,2.883347,158.685850198509,57.2383738340197,89.287084,22.578929,0.102911,2.266912,0.0,0.0,0.305561,20220101T043149_20220101T043421_T46RCV
10,66.975082,66.975082,0.130443,8.752676,158.981863359755,52.6067864451735,24.42136,5.650482,10.249003,0.0,33.801046,14.564472,1.403205,20220101T043149_20220101T043421_T46RDQ
11,53.558773,53.558773,2.422072,5.877214,159.154884318201,53.4707463402286,30.775958,3e-06,0.488943,5.717635,16.905601,24.433495,0.04144,20220101T043149_20220101T043421_T46RDR
12,70.089083,70.089083,1.635523,3.611739,159.318939301274,54.3352796916373,66.41885,6e-05,7.116457,3.84209,0.058494,1.374532,0.118278,20220101T043149_20220101T043421_T46RDS
13,76.223809,76.223809,1.049124,3.866429,159.474320351345,55.1998010597846,72.35738,4.6e-05,7.491846,1.294708,0.0,0.143244,0.182478,20220101T043149_20220101T043421_T46RDT
14,75.424183,75.424183,1.05753,2.267481,159.621477433983,56.065313441065,73.156703,0.000146,2.911395,3.38293,0.0,0.337674,0.181556,20220101T043149_20220101T043421_T46RDU
