,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,CLOUD_SHADOW_PERCENTAGE,HIGH_PROBA_CLOUDS_PERCENTAGE,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,MEDIUM_PROBA_CLOUDS_PERCENTAGE,NODATA_PIXEL_PERCENTAGE,NOT_VEGETATED_PERCENTAGE,SNOW_ICE_PERCENTAGE,THIN_CIRRUS_PERCENTAGE,VEGETATION_PERCENTAGE,WATER_PERCENTAGE,Systemindex
0,8.881922,8.881922,0.477421,0.173207,156.993610420643,54.0986450614146,8.708715,24.820966,8.101567,0.936192,0.0,66.832602,0.259221,20210101T043151_20210101T043436_T46RBR
1,54.516453,54.516453,1.258238,1.560999,157.158329923541,54.9575949548675,52.955455,47.304341,16.858825,4.432306,0.0,2.101096,3.873383,20210101T043151_20210101T043436_T46RBS
2,35.271639,35.271639,0.112125,0.197423,157.313145654716,55.8167866667747,35.074216,69.376636,43.954095,0.03026,0.0,0.010748,12.356208,20210101T043151_20210101T043436_T46RBT
3,61.847749,61.847749,0.106411,1.65424,157.458481348498,56.6772150297112,60.193509,91.151243,27.903524,0.17109,0.0,0.002287,0.007312,20210101T043151_20210101T043436_T46RBU
4,0.049771,0.049771,0.054014,0.000508,157.882190232631,52.9117509070004,0.049174,8.3e-05,27.953795,0.0,9e-05,55.789864,2.962212,20210101T043151_20210101T043436_T46RCQ
5,4.174685,4.174685,0.96094,0.076304,158.056529748637,53.7728615645766,4.098381,0.000408,10.887696,2.234504,0.0,64.113164,0.300853,20210101T043151_20210101T043436_T46RCR
6,53.285368,53.285368,1.118564,0.439186,158.221303486123,54.634666898143,52.846181,0.000129,22.3876,3.03877,0.0,3.006202,0.785828,20210101T043151_20210101T043436_T46RCS
7,43.490475,43.490475,0.243593,0.101181,158.376746567978,55.496593607146,43.389294,0.000189,43.291193,0.074612,0.0,0.060839,1.134026,20210101T043151_20210101T043436_T46RCT
8,60.132243,60.132243,0.371983,7.53577,158.523336847278,56.3596286077274,52.596474,3.184346,27.718467,0.159789,0.0,0.035743,0.418851,20210101T043151_20210101T043436_T46RCU
9,78.010935,78.010935,0.320264,18.287534,158.661261139717,57.2232038198276,59.723401,22.270165,11.261878,1.502754,0.0,0.000171,1.911153,20210101T043151_20210101T043436_T46RCV
