,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,CLOUD_SHADOW_PERCENTAGE,HIGH_PROBA_CLOUDS_PERCENTAGE,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,MEDIUM_PROBA_CLOUDS_PERCENTAGE,NODATA_PIXEL_PERCENTAGE,NOT_VEGETATED_PERCENTAGE,SNOW_ICE_PERCENTAGE,THIN_CIRRUS_PERCENTAGE,VEGETATION_PERCENTAGE,WATER_PERCENTAGE,Systemindex
0,86.579939,86.579939,0.422118,80.556136,159.045796727,54.6174644618,6.023803,94.515306,0.360174,6.818132,0.0,0.346926,0.011312,20181214T040141_20181214T040614_T47RLM
1,46.629231,46.629231,3.444717,37.698048,160.122222375,54.3146537129,8.931182,5.643979,13.320494,5.318099,0.0,12.208481,0.220743,20181214T040141_20181214T040614_T47RMM
2,9.505359,9.505359,1.235486,0.406014,160.268900223,55.182832992,9.099346,25.427961,38.301545,2.924032,0.0,27.085665,0.521541,20181214T040141_20181214T040614_T47RMN
3,27.596579,27.596579,1.313108,0.468651,160.407712813,56.0519292305,27.127928,46.247086,32.639039,2.265304,0.0,20.091064,0.316699,20181214T040141_20181214T040614_T47RMP
4,21.791597,21.791597,6.69371,0.610146,160.538774652,56.9213985798,21.181451,66.780072,19.908156,5.812453,0.0,21.039028,0.339455,20181214T040141_20181214T040614_T47RMQ
5,18.903568,18.903568,0.379157,0.053049,161.35478212,54.8904659431,18.850519,0.000265,34.583881,0.091254,0.0,31.012574,0.322896,20181214T040141_20181214T040614_T47RNN
6,53.787834,53.787834,2.458905,1.328964,161.49400996,55.7615501148,52.45887,0.000999,13.686405,4.502356,0.0,10.151763,0.367179,20181214T040141_20181214T040614_T47RNP
7,0.260257,0.260257,0.003981,0.001136,158.673625087,52.9702465261,0.117641,49.491143,31.571388,0.0,0.141479,52.108848,3.381146,20181215T042149_20181215T042612_T46RDQ
8,7.194223,7.194223,4.872518,5.612803,158.847030777,53.8328463632,1.545657,70.210105,0.860547,0.637353,0.035762,76.332462,0.117634,20181215T042149_20181215T042612_T46RDR
9,53.825006,53.825006,6.225794,35.839781,159.011445138,54.6960349571,17.985225,90.828639,1.832282,10.295168,0.0,10.135921,0.200705,20181215T042149_20181215T042612_T46RDS
10,3.972874,3.972874,0.130713,0.092272,159.749148242,52.6545847613,0.767221,2e-05,20.675722,0.0,3.113381,65.113652,2.595639,20181215T042149_20181215T042612_T46REQ
11,9.757567,9.757567,7.126533,6.505374,159.921547603,53.5196366198,2.158921,1.7e-05,3.449372,0.052146,1.093271,70.542091,0.046884,20181215T042149_20181215T042612_T46RER
12,36.656066,36.656066,8.513956,19.996677,160.085555869,54.3851615499,16.50748,2.683077,1.65275,8.039502,0.151909,28.576359,0.171315,20181215T042149_20181215T042612_T46RES
13,44.382058,44.382058,5.904702,12.034883,160.241468748,55.2505760434,32.347175,19.888833,10.684785,9.411716,0.0,7.957839,0.650425,20181215T042149_20181215T042612_T46RET
14,47.604148,47.604148,4.985826,18.216832,160.3897755,56.1168754694,29.387316,39.867896,5.662729,14.056921,0.0,6.828263,1.065843,20181215T042149_20181215T042612_T46REU
15,78.348562,78.348562,0.369228,14.468935,160.530674527,56.983496717,63.879627,59.673208,1.010355,13.339053,0.0,0.078341,0.1799,20181215T042149_20181215T042612_T46REV
16,5.795583,5.795583,2.062316,1.847121,161.005212813,53.2152312385,1.147976,2.7e-05,24.295852,0.019393,2.800486,55.994081,2.422862,20181215T042149_20181215T042612_T46RFR
17,24.365398,24.365398,11.465454,16.411768,161.168459733,54.0828249885,6.217216,7e-06,1.304548,1.265431,1.736414,48.597214,0.136642,20181215T042149_20181215T042612_T46RFS
18,39.964991,39.964991,7.848232,22.002448,161.32426353,54.9501921503,17.284293,4.6e-05,4.300204,15.935174,0.67825,13.249259,0.743999,20181215T042149_20181215T042612_T46RFT
19,55.485672,55.485672,3.674799,22.469768,161.473106014,55.8183366635,33.015904,7e-06,2.139957,20.42125,0.0,3.865047,0.490864,20181215T042149_20181215T042612_T46RFU
20,73.653364,73.653364,1.513449,24.665329,161.615217848,56.6866906163,48.988035,0.0,3.128377,12.730382,0.0,0.119877,0.20991,20181215T042149_20181215T042612_T46RFV
21,0.154103,0.154103,0.000764,0.000249,162.096780692,52.9200472349,0.116793,29.250181,22.236252,0.0,0.037061,67.628741,3.99708,20181215T042149_20181215T042612_T46RGR
22,55.869732,55.869732,3.869571,47.556153,162.258897047,53.7894367042,7.450596,9.497659,2.637394,2.501458,0.862982,25.733241,0.669266,20181215T042149_20181215T042612_T46RGS
23,43.663088,43.663088,7.812185,28.586945,162.414252354,54.6584853008,14.924981,0.009781,1.061215,18.699145,0.151162,12.273263,0.288956,20181215T042149_20181215T042612_T46RGT
24,53.802554,53.802554,3.999954,21.093826,162.563312081,55.5282068861,32.708704,7e-06,4.001911,19.250202,2.3e-05,4.960913,0.322799,20181215T042149_20181215T042612_T46RGU
25,66.481429,66.481429,1.361751,28.859735,162.70632835,56.3980319331,37.621695,0.0,4.669878,19.027883,0.0,0.00929,0.193828,20181215T042149_20181215T042612_T46RGV
26,93.542193,93.542193,0.046257,5.473183,161.750765481,57.5547037224,88.06901,0.0,0.422852,2.790323,0.0,0.0,0.010046,20181215T042149_20181215T042612_T46SFA
27,92.627857,92.627857,0.0,4.133819,161.880203354,58.4233748311,88.494039,7.825518,0.061206,3.267677,0.0,0.0,0.000252,20181215T042149_20181215T042612_T46SFB
28,79.394577,79.394577,0.304133,24.420951,162.843454169,57.2674163544,54.973626,3e-06,2.763461,12.896977,0.0,0.000139,0.11002,20181215T042149_20181215T042612_T46SGA
29,71.17091,71.17091,2.049527,58.64386,163.227610212,53.5601719029,12.174433,89.321536,0.179773,1.919404,0.352618,6.178253,0.030884,20181215T042149_20181215T042612_T47RKM
30,52.043414,52.043414,3.763772,27.447909,163.326409797,54.4441179432,24.595505,64.924425,3.419508,22.979869,0.0,3.552768,0.564217,20181215T042149_20181215T042612_T47RKN
31,50.816244,50.816244,3.624652,19.367993,163.417952291,55.3288517367,31.448251,40.086985,12.609075,14.736941,0.0,1.312936,0.442406,20181215T042149_20181215T042612_T47RKP
32,62.637612,62.637612,1.875925,31.836241,163.502420913,56.2138054377,30.801371,15.105534,4.221563,22.380707,0.0,0.011131,0.243039,20181215T042149_20181215T042612_T47RKQ
33,72.023618,72.023618,4.188277,44.851393,164.612631697,55.9865169504,27.172226,98.9739,2.19874,8.568943,0.0,0.007437,0.207587,20181215T042149_20181215T042612_T47RLQ
34,67.55684,67.55684,2.32106,36.986288,163.579907422,57.0984326681,30.570552,0.276844,6.970771,13.31283,0.0,0.047005,0.186315,20181215T042149_20181215T042612_T47SKR
35,63.082156,63.082156,3.920262,38.235253,164.690690095,56.8728601018,24.846902,81.291592,6.893981,13.843647,0.0,0.061432,0.191621,20181215T042149_20181215T042612_T47SLR
36,90.034333,90.034333,0.70111,1.341781,161.100266568,54.1369198477,88.692552,0.001022,0.555866,0.400427,0.0,1.536543,0.467528,20181216T044201_20181216T044230_T45RYM
37,84.211541,84.211541,0.358254,0.261171,161.265684402,55.0009747885,83.950371,0.000199,7.166889,0.153646,0.0,4e-05,0.22639,20181216T044201_20181216T044230_T45RYN
38,94.388618,94.388618,0.330172,0.812967,161.424435265,55.8657616918,93.57565,7.6e-05,0.899338,0.132654,0.0,0.0,0.10283,20181216T044201_20181216T044230_T45RYP
39,29.937719,29.937719,0.787048,0.40903,161.941301573,53.0123610232,29.528689,27.45418,2.147371,0.09263,0.0,52.10076,0.192354,20181216T044201_20181216T044230_T46RBR
40,81.142111,81.142111,1.002732,1.544829,162.059190345,53.8924630789,79.597282,5.360039,2.624971,0.975148,0.0,0.488018,5.052211,20181216T044201_20181216T044230_T46RBS
41,68.84848,68.84848,0.464656,0.256081,162.169003548,54.7724024566,68.592399,0.007807,16.847068,0.140419,0.0,0.002618,5.426819,20181216T044201_20181216T044230_T46RBT
42,82.29723,82.29723,0.448055,1.87676,162.271117489,55.6532007936,80.42047,0.004635,5.017532,0.279597,0.0,0.000401,6.438714,20181216T044201_20181216T044230_T46RBU
43,80.76222,80.76222,0.007877,3.015334,162.365668521,56.5343008565,77.746886,0.002372,0.532207,0.520784,0.0,3e-06,17.524287,20181216T044201_20181216T044230_T46RBV
