,CLOUD_COVER,CLOUD_COVER_LAND,DATE_ACQUIRED,UTM_ZONE,WRS_PATH,WRS_ROW,Systemindex
0,61,61,2022-08-04,47,132,38,LE07_132038_20220804
1,8,8,2022-08-21,47,132,38,LE07_132038_20220821
2,71,71,2022-10-28,47,132,38,LE07_132038_20221028
3,14,14,1999-08-01,47,132,39,LE07_132039_19990801
4,71,71,1999-10-04,47,132,39,LE07_132039_19991004
5,72,72,1999-10-20,47,132,39,LE07_132039_19991020
6,44,44,1999-11-21,47,132,39,LE07_132039_19991121
7,17,17,2000-01-24,47,132,39,LE07_132039_20000124
8,33,33,2000-04-13,47,132,39,LE07_132039_20000413
9,56,56,2000-05-15,47,132,39,LE07_132039_20000515
10,50,50,2000-06-16,47,132,39,LE07_132039_20000616
11,76,76,2000-07-02,47,132,39,LE07_132039_20000702
12,12,12,2000-07-18,47,132,39,LE07_132039_20000718
13,69,69,2000-08-03,47,132,39,LE07_132039_20000803
14,22,22,2000-09-20,47,132,39,LE07_132039_20000920
15,1,1,2000-10-06,47,132,39,LE07_132039_20001006
16,2,2,2000-10-22,47,132,39,LE07_132039_20001022
17,2,2,2000-11-07,47,132,39,LE07_132039_20001107
18,2,2,2000-11-23,47,132,39,LE07_132039_20001123
19,10,10,2000-12-09,47,132,39,LE07_132039_20001209
20,7,7,2000-12-25,47,132,39,LE07_132039_20001225
21,17,17,2001-01-10,47,132,39,LE07_132039_20010110
22,8,8,2001-01-26,47,132,39,LE07_132039_20010126
23,1,1,2001-02-11,47,132,39,LE07_132039_20010211
24,38,38,2001-02-27,47,132,39,LE07_132039_20010227
25,14,14,2001-03-15,47,132,39,LE07_132039_20010315
26,44,44,2001-03-31,47,132,39,LE07_132039_20010331
27,49,49,2001-04-16,47,132,39,LE07_132039_20010416
28,3,3,2001-05-02,47,132,39,LE07_132039_20010502
29,48,48,2001-06-03,47,132,39,LE07_132039_20010603
30,56,56,2001-06-19,47,132,39,LE07_132039_20010619
31,35,35,2001-07-05,47,132,39,LE07_132039_20010705
32,50,50,2001-08-06,47,132,39,LE07_132039_20010806
33,81,81,2001-09-07,47,132,39,LE07_132039_20010907
34,71,71,2001-09-23,47,132,39,LE07_132039_20010923
35,71,71,2001-10-09,47,132,39,LE07_132039_20011009
36,13,13,2001-10-25,47,132,39,LE07_132039_20011025
37,7,7,2001-11-10,47,132,39,LE07_132039_20011110
38,2,2,2001-11-26,47,132,39,LE07_132039_20011126
39,1,1,2001-12-12,47,132,39,LE07_132039_20011212
40,3,3,2001-12-28,47,132,39,LE07_132039_20011228
41,1,1,2002-01-13,47,132,39,LE07_132039_20020113
42,8,8,2002-01-29,47,132,39,LE07_132039_20020129
43,2,2,2002-02-14,47,132,39,LE07_132039_20020214
44,3,3,2002-03-02,47,132,39,LE07_132039_20020302
45,1,1,2002-03-18,47,132,39,LE07_132039_20020318
46,70,70,2002-04-03,47,132,39,LE07_132039_20020403
47,15,15,2002-05-05,47,132,39,LE07_132039_20020505
48,70,70,2002-08-25,47,132,39,LE07_132039_20020825
49,75,75,2002-09-10,47,132,39,LE07_132039_20020910
50,85,85,2002-09-26,47,132,39,LE07_132039_20020926
51,8,8,2002-10-12,47,132,39,LE07_132039_20021012
52,2,2,2002-10-28,47,132,39,LE07_132039_20021028
53,2,2,2002-11-29,47,132,39,LE07_132039_20021129
54,7,7,2002-12-15,47,132,39,LE07_132039_20021215
55,2,2,2002-12-31,47,132,39,LE07_132039_20021231
56,12,12,2003-01-16,47,132,39,LE07_132039_20030116
57,2,2,2003-02-01,47,132,39,LE07_132039_20030201
58,3,3,2003-02-17,47,132,39,LE07_132039_20030217
59,2,2,2003-03-05,47,132,39,LE07_132039_20030305
60,69,69,2003-03-21,47,132,39,LE07_132039_20030321
61,67,67,2003-04-06,47,132,39,LE07_132039_20030406
62,89,89,2003-04-22,47,132,39,LE07_132039_20030422
63,78,78,2003-05-08,47,132,39,LE07_132039_20030508
64,40,40,2003-05-24,47,132,39,LE07_132039_20030524
65,85,85,2003-08-28,47,132,39,LE07_132039_20030828
66,33,33,2003-09-29,47,132,39,LE07_132039_20030929
67,5,5,2003-11-16,47,132,39,LE07_132039_20031116
68,12,12,2003-12-02,47,132,39,LE07_132039_20031202
69,2,2,2003-12-18,47,132,39,LE07_132039_20031218
70,3,3,2004-01-03,47,132,39,LE07_132039_20040103
71,81,81,2004-01-19,47,132,39,LE07_132039_20040119
72,52,52,2004-02-04,47,132,39,LE07_132039_20040204
73,18,18,2004-02-20,47,132,39,LE07_132039_20040220
74,97,97,2004-03-07,47,132,39,LE07_132039_20040307
75,36,36,2004-03-23,47,132,39,LE07_132039_20040323
76,46,46,2004-04-08,47,132,39,LE07_132039_20040408
77,28,28,2004-04-24,47,132,39,LE07_132039_20040424
78,31,31,2004-05-10,47,132,39,LE07_132039_20040510
79,51,51,2004-05-26,47,132,39,LE07_132039_20040526
80,48,48,2004-06-11,47,132,39,LE07_132039_20040611
81,69,69,2004-06-27,47,132,39,LE07_132039_20040627
82,8,8,2004-09-15,47,132,39,LE07_132039_20040915
83,48,48,2004-10-17,47,132,39,LE07_132039_20041017
84,30,30,2004-11-02,47,132,39,LE07_132039_20041102
85,2,2,2004-11-18,47,132,39,LE07_132039_20041118
86,3,3,2004-12-04,47,132,39,LE07_132039_20041204
87,16,16,2004-12-20,47,132,39,LE07_132039_20041220
88,1,1,2005-01-05,47,132,39,LE07_132039_20050105
89,48,48,2005-02-06,47,132,39,LE07_132039_20050206
90,12,12,2005-02-22,47,132,39,LE07_132039_20050222
91,72,72,2005-03-10,47,132,39,LE07_132039_20050310
92,47,47,2005-03-26,47,132,39,LE07_132039_20050326
93,61,61,2005-04-11,47,132,39,LE07_132039_20050411
94,47,47,2005-05-13,47,132,39,LE07_132039_20050513
95,80,80,2005-05-29,47,132,39,LE07_132039_20050529
96,69,69,2005-06-14,47,132,39,LE07_132039_20050614
97,52,52,2005-06-30,47,132,39,LE07_132039_20050630
98,68,68,2005-07-16,47,132,39,LE07_132039_20050716
99,47,47,2005-09-18,47,132,39,LE07_132039_20050918
100,76,76,2005-10-04,47,132,39,LE07_132039_20051004
101,2,2,2005-11-05,47,132,39,LE07_132039_20051105
102,10,10,2005-11-21,47,132,39,LE07_132039_20051121
103,3,3,2005-12-07,47,132,39,LE07_132039_20051207
104,1,1,2006-01-08,47,132,39,LE07_132039_20060108
105,1,1,2006-01-24,47,132,39,LE07_132039_20060124
106,12,12,2006-02-09,47,132,39,LE07_132039_20060209
107,21,21,2006-02-25,47,132,39,LE07_132039_20060225
108,6,6,2006-03-29,47,132,39,LE07_132039_20060329
109,28,28,2006-04-30,47,132,39,LE07_132039_20060430
110,27,27,2006-05-16,47,132,39,LE07_132039_20060516
111,33,33,2006-08-04,47,132,39,LE07_132039_20060804
112,61,61,2006-09-05,47,132,39,LE07_132039_20060905
113,6,6,2006-09-21,47,132,39,LE07_132039_20060921
114,15,15,2006-10-07,47,132,39,LE07_132039_20061007
115,6,6,2006-10-23,47,132,39,LE07_132039_20061023
116,20,20,2006-11-08,47,132,39,LE07_132039_20061108
117,63,63,2006-11-24,47,132,39,LE07_132039_20061124
118,18,18,2006-12-26,47,132,39,LE07_132039_20061226
119,21,21,2007-01-11,47,132,39,LE07_132039_20070111
120,2,2,2007-01-27,47,132,39,LE07_132039_20070127
121,2,2,2007-02-28,47,132,39,LE07_132039_20070228
122,75,75,2007-03-16,47,132,39,LE07_132039_20070316
123,4,4,2007-04-01,47,132,39,LE07_132039_20070401
124,18,18,2007-04-17,47,132,39,LE07_132039_20070417
125,4,4,2007-05-19,47,132,39,LE07_132039_20070519
126,74,74,2007-06-04,47,132,39,LE07_132039_20070604
127,39,39,2007-06-20,47,132,39,LE07_132039_20070620
128,27,27,2007-09-24,47,132,39,LE07_132039_20070924
129,7,7,2007-10-10,47,132,39,LE07_132039_20071010
130,1,1,2007-10-26,47,132,39,LE07_132039_20071026
131,3,3,2007-11-11,47,132,39,LE07_132039_20071111
132,6,6,2007-11-27,47,132,39,LE07_132039_20071127
133,2,2,2007-12-13,47,132,39,LE07_132039_20071213
134,2,2,2007-12-29,47,132,39,LE07_132039_20071229
135,2,2,2008-02-15,47,132,39,LE07_132039_20080215
136,20,20,2008-03-02,47,132,39,LE07_132039_20080302
137,35,35,2008-04-19,47,132,39,LE07_132039_20080419
138,18,18,2008-05-05,47,132,39,LE07_132039_20080505
139,31,31,2008-07-08,47,132,39,LE07_132039_20080708
140,60,60,2008-09-10,47,132,39,LE07_132039_20080910
141,56,56,2008-09-26,47,132,39,LE07_132039_20080926
142,67,67,2008-10-12,47,132,39,LE07_132039_20081012
143,3,3,2008-11-13,47,132,39,LE07_132039_20081113
144,36,36,2008-11-29,47,132,39,LE07_132039_20081129
145,2,2,2008-12-15,47,132,39,LE07_132039_20081215
146,10,10,2008-12-31,47,132,39,LE07_132039_20081231
147,2,2,2009-01-16,47,132,39,LE07_132039_20090116
148,15,15,2009-02-01,47,132,39,LE07_132039_20090201
149,3,3,2009-02-17,47,132,39,LE07_132039_20090217
150,27,27,2009-03-05,47,132,39,LE07_132039_20090305
151,4,4,2009-03-21,47,132,39,LE07_132039_20090321
152,29,29,2009-04-06,47,132,39,LE07_132039_20090406
153,31,31,2009-04-22,47,132,39,LE07_132039_20090422
154,26,26,2009-05-08,47,132,39,LE07_132039_20090508
155,29,29,2009-05-24,47,132,39,LE07_132039_20090524
156,59,59,2009-06-09,47,132,39,LE07_132039_20090609
157,71,71,2009-08-28,47,132,39,LE07_132039_20090828
158,21,21,2009-09-13,47,132,39,LE07_132039_20090913
159,6,6,2009-09-29,47,132,39,LE07_132039_20090929
160,11,11,2009-10-15,47,132,39,LE07_132039_20091015
161,1,1,2009-10-31,47,132,39,LE07_132039_20091031
162,29,29,2009-12-02,47,132,39,LE07_132039_20091202
163,3,3,2010-01-03,47,132,39,LE07_132039_20100103
164,15,15,2010-01-19,47,132,39,LE07_132039_20100119
165,19,19,2010-02-04,47,132,39,LE07_132039_20100204
166,3,3,2010-02-20,47,132,39,LE07_132039_20100220
167,86,86,2010-03-08,47,132,39,LE07_132039_20100308
168,36,36,2010-06-12,47,132,39,LE07_132039_20100612
169,55,55,2010-06-28,47,132,39,LE07_132039_20100628
170,21,21,2010-07-30,47,132,39,LE07_132039_20100730
171,18,18,2010-08-15,47,132,39,LE07_132039_20100815
172,1,1,2010-12-05,47,132,39,LE07_132039_20101205
173,3,3,2010-12-21,47,132,39,LE07_132039_20101221
174,3,3,2011-01-06,47,132,39,LE07_132039_20110106
175,4,4,2011-02-07,47,132,39,LE07_132039_20110207
176,3,3,2011-02-23,47,132,39,LE07_132039_20110223
177,72,72,2011-03-11,47,132,39,LE07_132039_20110311
178,0,0,2011-03-27,47,132,39,LE07_132039_20110327
179,51,51,2011-04-12,47,132,39,LE07_132039_20110412
180,43,43,2011-05-14,47,132,39,LE07_132039_20110514
181,49,49,2011-06-15,47,132,39,LE07_132039_20110615
182,61,61,2011-07-17,47,132,39,LE07_132039_20110717
