,CLOUD_COVER,CLOUD_COVER_LAND,DATE_ACQUIRED,UTM_ZONE,WRS_PATH,WRS_ROW,Systemindex
0,52,52,1986-06-02,47,132,39,LT05_132039_19860602
1,87,87,1986-06-18,47,132,39,LT05_132039_19860618
2,41,41,1986-11-09,47,132,39,LT05_132039_19861109
3,2,2,1986-11-25,47,132,39,LT05_132039_19861125
4,12,12,1986-12-11,47,132,39,LT05_132039_19861211
5,6,6,1987-01-12,47,132,39,LT05_132039_19870112
6,2,2,1987-02-13,47,132,39,LT05_132039_19870213
7,4,4,1987-03-17,47,132,39,LT05_132039_19870317
8,48,48,1987-05-04,47,132,39,LT05_132039_19870504
9,24,24,1987-06-21,47,132,39,LT05_132039_19870621
10,65,65,1987-09-09,47,132,39,LT05_132039_19870909
11,63,63,1987-10-11,47,132,39,LT05_132039_19871011
12,2,2,1987-11-12,47,132,39,LT05_132039_19871112
13,1,1,1987-11-28,47,132,39,LT05_132039_19871128
14,2,2,1987-12-30,47,132,39,LT05_132039_19871230
15,21,21,1988-01-15,47,132,39,LT05_132039_19880115
16,1,1,1988-01-31,47,132,39,LT05_132039_19880131
17,92,92,1988-03-03,47,132,39,LT05_132039_19880303
18,100,100,1988-03-19,47,132,39,LT05_132039_19880319
19,4,4,1988-04-04,47,132,39,LT05_132039_19880404
20,2,2,1988-04-20,47,132,39,LT05_132039_19880420
21,67,67,1988-06-07,47,132,39,LT05_132039_19880607
22,40,40,1988-06-23,47,132,39,LT05_132039_19880623
23,59,59,1988-07-25,47,132,39,LT05_132039_19880725
24,56,56,1988-08-10,47,132,39,LT05_132039_19880810
25,73,73,1988-09-27,47,132,39,LT05_132039_19880927
26,93,93,1988-10-13,47,132,39,LT05_132039_19881013
27,61,61,1988-10-29,47,132,39,LT05_132039_19881029
28,2,2,1988-11-14,47,132,39,LT05_132039_19881114
29,96,96,1988-11-30,47,132,39,LT05_132039_19881130
30,2,2,1988-12-16,47,132,39,LT05_132039_19881216
31,81,81,1989-01-17,47,132,39,LT05_132039_19890117
32,47,47,1989-02-02,47,132,39,LT05_132039_19890202
33,7,7,1989-02-18,47,132,39,LT05_132039_19890218
34,5,5,1989-03-06,47,132,39,LT05_132039_19890306
35,33,33,1989-03-22,47,132,39,LT05_132039_19890322
36,3,3,1989-04-23,47,132,39,LT05_132039_19890423
37,27,27,1989-05-09,47,132,39,LT05_132039_19890509
38,58,58,1989-05-25,47,132,39,LT05_132039_19890525
39,1,1,1989-06-10,47,132,39,LT05_132039_19890610
40,73,73,1989-08-29,47,132,39,LT05_132039_19890829
41,61,61,1989-09-14,47,132,39,LT05_132039_19890914
42,71,71,1989-09-30,47,132,39,LT05_132039_19890930
43,38,38,1989-10-16,47,132,39,LT05_132039_19891016
44,65,65,1989-11-17,47,132,39,LT05_132039_19891117
45,1,1,1989-12-03,47,132,39,LT05_132039_19891203
46,5,5,1989-12-19,47,132,39,LT05_132039_19891219
47,17,17,1990-01-04,47,132,39,LT05_132039_19900104
48,2,2,1990-01-20,47,132,39,LT05_132039_19900120
49,95,95,1990-02-05,47,132,39,LT05_132039_19900205
50,7,7,1990-02-21,47,132,39,LT05_132039_19900221
51,18,18,1990-03-09,47,132,39,LT05_132039_19900309
52,19,19,1990-03-25,47,132,39,LT05_132039_19900325
53,39,39,1990-04-10,47,132,39,LT05_132039_19900410
54,2,2,1990-04-26,47,132,39,LT05_132039_19900426
55,51,51,1990-05-12,47,132,39,LT05_132039_19900512
56,64,64,1990-06-13,47,132,39,LT05_132039_19900613
57,95,95,1990-07-15,47,132,39,LT05_132039_19900715
