,CLOUD_COVER,CLOUD_COVER_LAND,DATE_ACQUIRED,UTM_ZONE,WRS_PATH,WRS_ROW,Systemindex
80,20.4,20.4,2017/4/20,47,132,39,LC08_132039_20170420
81,68.85,68.85,2017/5/22,47,132,39,LC08_132039_20170522
82,8.63,8.63,2017/6/7,47,132,39,LC08_132039_20170607
83,84.8,84.8,2017/6/23,47,132,39,LC08_132039_20170623
84,84.29,84.29,2017/8/26,47,132,39,LC08_132039_20170826
85,48.94,48.94,2017/9/11,47,132,39,LC08_132039_20170911
86,67.36,67.36,2017/9/27,47,132,39,LC08_132039_20170927
87,24.29,24.29,2017/10/13,47,132,39,LC08_132039_20171013
88,56.57,56.57,2017/10/29,47,132,39,LC08_132039_20171029
89,2.84,2.84,2017/11/14,47,132,39,LC08_132039_20171114
90,9.09,9.09,2017/11/30,47,132,39,LC08_132039_20171130
91,1.53,1.53,2017/12/16,47,132,39,LC08_132039_20171216
92,1.79,1.79,2018/1/1,47,132,39,LC08_132039_20180101
93,2.13,2.13,2018/1/17,47,132,39,LC08_132039_20180117
94,57.26,57.26,2018/2/2,47,132,39,LC08_132039_20180202
95,7.12,7.12,2018/2/18,47,132,39,LC08_132039_20180218
96,87.16,87.16,2018/3/6,47,132,39,LC08_132039_20180306
97,9.46,9.46,2018/3/22,47,132,39,LC08_132039_20180322
98,21.76,21.76,2018/4/7,47,132,39,LC08_132039_20180407
99,30.99,30.99,2018/4/23,47,132,39,LC08_132039_20180423
100,39.81,39.81,2018/5/9,47,132,39,LC08_132039_20180509
101,11.07,11.07,2018/5/25,47,132,39,LC08_132039_20180525
102,36.32,36.32,2018/6/10,47,132,39,LC08_132039_20180610
103,78.34,78.34,2018/6/26,47,132,39,LC08_132039_20180626
104,70.45,70.45,2018/7/28,47,132,39,LC08_132039_20180728
105,86.61,86.61,2018/8/13,47,132,39,LC08_132039_20180813
106,86.47,86.47,2018/8/29,47,132,39,LC08_132039_20180829
107,85.11,85.11,2018/9/14,47,132,39,LC08_132039_20180914
108,69.22,69.22,2018/9/30,47,132,39,LC08_132039_20180930
109,21.55,21.55,2018/10/16,47,132,39,LC08_132039_20181016
110,2.35,2.35,2018/11/1,47,132,39,LC08_132039_20181101
111,48.68,48.68,2018/11/17,47,132,39,LC08_132039_20181117
112,29.23,29.23,2018/12/3,47,132,39,LC08_132039_20181203
113,74.41,74.41,2018/12/19,47,132,39,LC08_132039_20181219
114,53.21,53.21,2019/1/4,47,132,39,LC08_132039_20190104
