,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,Systemindex
0,97.0,97.0,158.964673681,54.4569132551,20160101T044212_20160101T044851_T45RYM
1,99.0,99.0,159.150395997,55.3107952192,20160101T044212_20160101T044851_T45RYN
2,98.0,98.0,159.328667874,56.1655589106,20160101T044212_20160101T044851_T45RYP
3,24.0,24.0,159.77019554,53.3134122703,20160101T044212_20160101T044851_T46RBR
4,88.0,88.0,159.910649248,54.184971055,20160101T044212_20160101T044851_T46RBS
5,94.0,94.0,160.042096021,55.0565485346,20160101T044212_20160101T044851_T46RBT
6,92.0,92.0,160.165009604,55.9291355832,20160101T044212_20160101T044851_T46RBU
7,83.0,83.0,160.279511151,56.8021800348,20160101T044212_20160101T044851_T46RBV
8,5.0,5.0,160.999375005,53.9026251682,20160101T044212_20160101T044851_T46RCS
9,28.0,28.0,161.130333463,54.7766412287,20160101T044212_20160101T044851_T46RCT
10,52.0,52.0,161.253431653,55.651553501,20160101T044212_20160101T044851_T46RCU
11,72.0,72.0,161.368764337,56.52681964,20160101T044212_20160101T044851_T46RCV
12,97.0,58.07692307692308,158.964673681267,54.4569132551133,20160101T045654_20160101T101451_T45RYM
13,99.0,58.07692307692308,159.15039599702,55.3107952191738,20160101T045654_20160101T101451_T45RYN
14,98.0,70.92307692307692,159.328667874129,56.1655589106418,20160101T045654_20160101T101451_T45RYP
15,24.0,58.07692307692308,159.770195540175,53.313412270327,20160101T045654_20160101T101451_T46RBR
16,88.0,58.07692307692308,159.910649247748,54.1849710549921,20160101T045654_20160101T101451_T46RBS
17,94.0,58.07692307692308,160.042096020882,55.0565485346148,20160101T045654_20160101T101451_T46RBT
18,92.0,70.92307692307692,160.165009603964,55.9291355831599,20160101T045654_20160101T101451_T46RBU
19,83.0,70.92307692307692,160.279511151307,56.8021800348049,20160101T045654_20160101T101451_T46RBV
20,5.0,58.07692307692308,160.999375004882,53.9026251681665,20160101T045654_20160101T101451_T46RCS
21,28.0,58.07692307692308,161.130333462959,54.7766412287073,20160101T045654_20160101T101451_T46RCT
22,52.0,70.92307692307692,161.253431653301,55.651553500968,20160101T045654_20160101T101451_T46RCU
23,72.0,70.92307692307692,161.368764337493,56.5268196399658,20160101T045654_20160101T101451_T46RCV
24,2.0,2.0,155.941811769,54.1382209111,20160105T042142_20160105T042453_T46RDR
