,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,Systemindex
0,28.9178,28.917800000000003,156.993610420643,54.0986450614146,20210101T043151_20210101T043436_T46RBR
1,87.7884,87.7884,157.158329923541,54.9575949548675,20210101T043151_20210101T043436_T46RBS
2,88.6841,88.6841,157.313145654716,55.8167866667747,20210101T043151_20210101T043436_T46RBT
3,99.1234,99.1234,157.458481348498,56.6772150297112,20210101T043151_20210101T043436_T46RBU
4,0.0529,0.0529,157.882190232631,52.9117509070004,20210101T043151_20210101T043436_T46RCQ
5,22.4051,22.4051,158.056529748637,53.7728615645766,20210101T043151_20210101T043436_T46RCR
6,90.2702,90.2702,158.221303486123,54.634666898143,20210101T043151_20210101T043436_T46RCS
7,97.4097,97.4097,158.376746567978,55.496593607146,20210101T043151_20210101T043436_T46RCT
8,98.1619,98.1619,158.523336847278,56.3596286077274,20210101T043151_20210101T043436_T46RCU
9,96.5954,96.5954,158.661261139717,57.2232038198276,20210101T043151_20210101T043436_T46RCV
10,0.0,0.0,158.955657024718,52.5918346124684,20210101T043151_20210101T043436_T46RDQ
11,22.7646,22.7646,159.129053829069,53.4556813895074,20210101T043151_20210101T043436_T46RDR
12,82.1826,82.1826,159.293528246376,54.3200871979799,20210101T043151_20210101T043436_T46RDS
13,89.5828,89.5828,159.449262514104,55.1844985565441,20210101T043151_20210101T043436_T46RDT
14,96.3576,96.3576,159.596802815781,56.0498907700112,20210101T043151_20210101T043436_T46RDU
15,0.0,0.0,160.039850097737,52.280667526267,20210101T043151_20210101T043436_T46REQ
16,0.0,0.0,160.211943489058,53.1469780960027,20210101T043151_20210101T043436_T46RER
17,31.7542,31.754200000000004,160.375756531528,54.0137244996279,20210101T043151_20210101T043436_T46RES
18,69.2512,69.2512,160.531438080774,54.8803650768409,20210101T043151_20210101T043436_T46RET
19,66.2728,66.2728,160.679610428687,55.7478620453084,20210101T043151_20210101T043436_T46REU
20,93.1982,93.1982,160.820351057596,56.6156858924911,20210101T043151_20210101T043436_T46REV
21,57.1243,57.1243,161.770521564497,55.453960398717,20210101T043151_20210101T043436_T46RFU
22,87.7375,87.7375,161.912223985486,56.3235229453331,20210101T043151_20210101T043436_T46RFV
23,98.6676,98.6676,162.047473544396,57.1927181993893,20210101T043151_20210101T043436_T46SFA
24,99.7078,99.7078,162.17660189042,58.0625784763783,20210101T043151_20210101T043436_T46SFB
25,19.8163,19.8163,156.455503871876,55.1139025231031,20210102T040151_20210102T040620_T47RLM
26,37.4843,37.4843,157.511228240253,54.7735542749771,20210102T040151_20210102T040620_T47RMM
27,67.416,67.416,157.682163273477,55.6294268710773,20210102T040151_20210102T040620_T47RMN
28,79.7907,79.7907,157.844272360663,56.4864305624306,20210102T040151_20210102T040620_T47RMP
29,64.0979,64.0979,157.997792550683,57.3439852110684,20210102T040151_20210102T040620_T47RMQ
30,75.2969,75.2969,158.749043567453,55.2993698357293,20210102T040151_20210102T040620_T47RNN
31,85.7967,85.7967,158.912466659788,56.1586633339899,20210102T040151_20210102T040620_T47RNP
32,0.0,0.0,155.949777222434,53.3575471989876,20210103T042149_20210103T042426_T46RDQ
33,0.8549,0.8549,156.150018544536,54.2062946826055,20210103T042149_20210103T042426_T46RDR
34,24.8889,24.8889,156.340325258885,55.0558683499579,20210103T042149_20210103T042426_T46RDS
35,0.0,0.0,157.004973649298,53.0026329569655,20210103T042149_20210103T042426_T46REQ
36,0.1242,0.12420000000000002,157.205256881206,53.8541694882932,20210103T042149_20210103T042426_T46RER
37,18.605,18.605,157.396160008377,54.7064042197953,20210103T042149_20210103T042426_T46RES
38,48.7402,48.7402,157.577905243207,55.558774972197,20210103T042149_20210103T042426_T46RET
39,39.8853,39.8853,157.751107247166,56.412228781459,20210103T042149_20210103T042426_T46REU
40,79.6475,79.6475,157.915928141038,57.2662140982185,20210103T042149_20210103T042426_T46REV
41,1.7297,1.7297,158.270504984799,53.510418629822,20210103T042149_20210103T042426_T46RFR
42,6.3245,6.3245,158.461620518454,54.3650699284511,20210103T042149_20210103T042426_T46RFS
43,20.591,20.591,158.644171164991,55.21973075723,20210103T042149_20210103T042426_T46RFT
44,36.3209,36.3209,158.818782450929,56.0753547396001,20210103T042149_20210103T042426_T46RFU
45,77.4676,77.4676,158.985638024756,56.9313877209593,20210103T042149_20210103T042426_T46RFV
46,0.0034,0.0034,159.344585466001,53.1755057479561,20210103T042149_20210103T042426_T46RGR
47,1.2566,1.2566,159.535509341998,54.0323234471011,20210103T042149_20210103T042426_T46RGS
48,16.08,16.08,159.718504135441,54.8890209275826,20210103T042149_20210103T042426_T46RGT
49,43.1044,43.1044,159.89417494092,55.746566960183,20210103T042149_20210103T042426_T46RGU
50,60.4647,60.46470000000001,160.062736319557,56.6044022687243,20210103T042149_20210103T042426_T46RGV
51,84.921,84.921,159.144976763212,57.7872603310767,20210103T042149_20210103T042426_T46SFA
52,95.3883,95.3883,159.297262054581,58.6439596615914,20210103T042149_20210103T042426_T46SFB
