,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,Systemindex
0,95.3143,95.3143,156.928228906,54.0973265952,20200102T043149_20200102T043308_T46RBR
1,82.7996,82.7996,157.093669283,54.9559479393,20200102T043149_20200102T043308_T46RBS
2,76.0908,76.0908,157.249155959,55.8148254505,20200102T043149_20200102T043308_T46RBT
3,96.4363,96.4363,157.395160867,56.6749378904,20200102T043149_20200102T043308_T46RBU
4,90.6565,90.6565,157.81581617,52.9098126009,20200102T043149_20200102T043308_T46RCQ
5,93.5888,93.5888,157.990910936,53.7706017914,20200102T043149_20200102T043308_T46RCR
6,86.9307,86.9307,158.156408356,54.6320929942,20200102T043149_20200102T043308_T46RCS
7,80.2902,80.2902,158.312557886,55.4937087664,20200102T043149_20200102T043308_T46RCT
8,93.0249,93.0249,158.459818226,56.3564415389,20200102T043149_20200102T043308_T46RCU
9,93.0726,93.0726,158.598378832,57.2197226528,20200102T043149_20200102T043308_T46RCV
10,62.2716,62.2716,158.889030115,52.5889442695,20200102T043149_20200102T043308_T46RDQ
11,87.3788,87.3788,159.063224874,53.4524726112,20200102T043149_20200102T043308_T46RDR
12,84.5126,84.5126,159.228423033,54.316579163,20200102T043149_20200102T043308_T46RDS
13,95.1336,95.1336,159.384900668,55.1806832253,20200102T043149_20200102T043308_T46RDT
14,98.1142,98.1142,159.533105736,56.0457883159,20200102T043149_20200102T043308_T46RDU
15,89.28,89.28,159.973003486,52.2768146562,20200102T043149_20200102T043308_T46REQ
16,81.8467,81.8467,160.145929967,53.1428129011,20200102T043149_20200102T043308_T46RER
17,98.2059,98.2059,160.310472773,54.0092728734,20200102T043149_20200102T043308_T46RES
18,97.9128,97.9128,160.466927146,54.8756126969,20200102T043149_20200102T043308_T46RET
19,95.0364,95.0364,160.615760675,55.7428366426,20200102T043149_20200102T043308_T46REU
20,94.2039,94.2039,160.757204426,56.6103736696,20200102T043149_20200102T043308_T46REV
21,94.6915,94.6915,161.706549479,55.4480048998,20200102T043149_20200102T043308_T46RFU
22,91.5279,91.5279,161.848978591,56.317287892,20200102T043149_20200102T043308_T46RFV
23,95.5808,95.5808,161.984865392,57.1862235882,20200102T043149_20200102T043308_T46SFA
24,80.9343,80.9343,162.11467227,58.0558114954,20200102T043149_20200102T043308_T46SFB
25,98.2471,98.2471,156.389477927,55.1113599442,20200103T040149_20200103T040143_T47RLM
26,86.041,86.041,157.444973324,54.7700713454,20200103T040149_20200103T040143_T47RMM
27,35.2243,35.2243,157.616598981,55.6256156204,20200103T040149_20200103T040143_T47RMN
28,54.4938,54.4938,157.779403817,56.4822868533,20200103T040149_20200103T040143_T47RMP
29,24.4876,24.4876,157.933559596,57.339525812,20200103T040149_20200103T040143_T47RMQ
30,71.7238,71.7238,158.683300602,55.2946165028,20200103T040149_20200103T040143_T47RNN
31,56.9166,56.9166,158.847421165,56.1535912835,20200103T040149_20200103T040143_T47RNP
32,60.2716,60.2716,156.087527244,54.2006430631,20200104T042151_20200104T042303_T46RDR
33,77.4365,77.4365,156.278508297,55.0498885427,20200104T042151_20200104T042303_T46RDS
34,88.3502,88.3502,156.941580642,52.996428505,20200104T042151_20200104T042303_T46REQ
35,70.0388,70.0388,157.142642791,53.8476194188,20200104T042151_20200104T042303_T46RER
36,79.4214,79.4214,157.334242427,54.6995330534,20200104T042151_20200104T042303_T46RES
37,78.7286,78.7286,157.51668692,55.551579402,20200104T042151_20200104T042303_T46RET
