,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,Systemindex
5115,43.0825,43.0825,152.40006753,36.871935587,20180929T042659_20180929T043512_T46RCV
5116,84.2631,84.2631,151.512636634,32.3351663477,20180929T042659_20180929T043512_T46RDQ
5117,67.0852,67.0852,152.068165906,33.1580425312,20180929T042659_20180929T043512_T46RDR
5118,32.9844,32.9844,152.59319397,33.9841872832,20180929T042659_20180929T043512_T46RDS
5119,38.0321,38.0321,153.089457694,34.8128327661,20180929T042659_20180929T043512_T46RDT
5120,63.7994,63.7994,153.559442607,35.6447196734,20180929T042659_20180929T043512_T46RDU
5121,7.6518,7.6518,153.209283538,31.9231337177,20180929T042659_20180929T043512_T46REQ
5122,31.9905,31.9905,153.749447556,32.753488203,20180929T042659_20180929T043512_T46RER
5123,39.0444,39.0444,154.260127513,33.5867458603,20180929T042659_20180929T043512_T46RES
5124,24.2405,24.2405,154.743171453,34.4221369497,20180929T042659_20180929T043512_T46RET
5125,36.2593,36.2593,155.201014117,35.2604414253,20180929T042659_20180929T043512_T46REU
5126,40.4713,40.4713,155.63493762,36.1009826849,20180929T042659_20180929T043512_T46REV
5127,1.8298,1.8298,156.868587729,34.891949759,20180929T042659_20180929T043512_T46RFU
5128,10.6224,10.6224,157.289927486,35.7382008357,20180929T042659_20180929T043512_T46RFV
5129,17.9012,17.9012,157.689904797,36.5856982729,20180929T042659_20180929T043512_T46SFA
5130,31.5031,31.5031,158.070447685,37.4353008173,20180929T042659_20180929T043512_T46SFB
5131,7.0409,7.0409,148.970950484,35.378704171,20180930T035539_20180930T040128_T47RLM
5132,72.6736,72.6736,150.545339719,34.9379480476,20180930T035539_20180930T040128_T47RMM
5133,38.9863,38.9863,151.064196884,35.7533281784,20180930T035539_20180930T040128_T47RMN
5134,29.9444,29.9444,151.556471082,36.5723525308,20180930T035539_20180930T040128_T47RMP
5135,17.021,17.021,152.023447744,37.3942943942,20180930T035539_20180930T040128_T47RMQ
5136,50.7964,50.7964,152.659714799,35.3340078863,20180930T035539_20180930T040128_T47RNN
5137,58.0907,58.0907,153.142935513,36.1596551883,20180930T035539_20180930T040128_T47RNP
5138,9.6934,9.6934,148.366815998,34.0649600696,20181001T041551_20181001T042135_T46RDQ
5139,25.144,25.144,148.949525123,34.8662493901,20181001T041551_20181001T042135_T46RDR
5140,12.25,12.25,149.502333548,35.6713766163,20181001T041551_20181001T042135_T46RDS
5141,17.7866,17.7866,149.94995991,33.6091464903,20181001T041551_20181001T042135_T46REQ
5142,52.7654,52.7654,150.523253821,34.4180853851,20181001T041551_20181001T042135_T46RER
5143,93.919,93.919,151.067336405,35.2305074136,20181001T041551_20181001T042135_T46RES
5144,52.6666,52.6666,151.583510086,36.0457137534,20181001T041551_20181001T042135_T46RET
5145,41.5961,41.5961,152.074237233,36.8643935784,20181001T041551_20181001T042135_T46REU
5146,16.6427,16.6427,152.540630505,37.6858654559,20181001T041551_20181001T042135_T46REV
5147,70.8959,70.8959,152.127813333,33.9849553074,20181001T041551_20181001T042135_T46RFR
5148,98.8723,98.8723,152.661350201,34.8043769948,20181001T041551_20181001T042135_T46RFS
5149,87.6663,87.6663,153.167812917,35.6262445935,20181001T041551_20181001T042135_T46RFT
5150,82.3855,82.3855,153.649707937,36.4512678743,20181001T041551_20181001T042135_T46RFU
5151,23.4173,23.4173,154.108191542,37.278771654,20181001T041551_20181001T042135_T46RFV
5152,78.9482,78.9482,153.761674179,33.5677954403,20181001T041551_20181001T042135_T46RGR
5153,94.5054,94.5054,154.282782688,34.3938865289,20181001T041551_20181001T042135_T46RGS
5154,98.5233,98.5233,154.777848247,35.2220712978,20181001T041551_20181001T042135_T46RGT
5155,86.3997,86.3997,155.249323682,36.0531014371,20181001T041551_20181001T042135_T46RGU
5156,54.975,54.975,155.698443663,36.8862991044,20181001T041551_20181001T042135_T46RGV
5157,69.3013,69.3013,154.544630621,38.1080237609,20181001T041551_20181001T042135_T46SFA
5158,80.3867,80.3867,154.960732859,38.9398814822,20181001T041551_20181001T042135_T46SFB
5159,95.0798,95.0798,156.126534621,37.7209601192,20181001T041551_20181001T042135_T46SGA
5160,14.3343,14.3343,155.743116735,34.0665506881,20181001T041551_20181001T042135_T47RKM
5161,43.6693,43.6693,156.142663874,34.918907542,20181001T041551_20181001T042135_T47RKN
5162,61.6424,61.6424,156.518534549,35.7737750818,20181001T041551_20181001T042135_T47RKP
5163,80.0821,80.0821,156.871976509,36.6304770385,20181001T041551_20181001T042135_T47RKQ
5164,1.1702,1.1702,158.524151955,36.3097129842,20181001T041551_20181001T042135_T47RLQ
5165,91.0155,91.0155,157.204173356,37.488342999,20181001T041551_20181001T042135_T47SKR
5166,25.124,25.124,158.843891807,37.1728153579,20181001T041551_20181001T042135_T47SLR
5167,54.3587,54.3587,153.135850305,35.0976714491,20181002T043659_20181002T044708_T45RYM
5168,46.0954,46.0954,153.640640967,35.9186125797,20181002T043659_20181002T044708_T45RYN
5169,85.3162,85.3162,154.121860726,36.7425839895,20181002T043659_20181002T044708_T45RYP
5170,63.753,63.753,154.121444169,33.9117235077,20181002T043659_20181002T044708_T46RBR
5171,55.525,55.525,154.560406867,34.7558783357,20181002T043659_20181002T044708_T46RBS
5172,39.9316,39.9316,154.973408196,35.6019102571,20181002T043659_20181002T044708_T46RBT
5173,62.5782,62.5782,155.362534723,36.4506450665,20181002T043659_20181002T044708_T46RBU
5174,68.8069,68.8069,155.728942012,37.301410484,20181002T043659_20181002T044708_T46RBV
5175,5.1086,5.1086,156.217503444,34.4004501547,20181002T043659_20181002T044708_T46RCS
5176,7.8639,7.8639,156.616052695,35.2527306191,20181002T043659_20181002T044708_T46RCT
5177,33.9654,33.9654,156.991970612,36.1074111226,20181002T043659_20181002T044708_T46RCU
5178,57.0656,57.0656,157.346404978,36.9638336409,20181002T043659_20181002T044708_T46RCV
5179,66.5565,66.5565,151.126175875,36.0419968389,20181003T040559_20181003T041242_T46RGS
5180,49.3074,49.3074,151.65135942,36.8495141129,20181003T040559_20181003T041242_T46RGT
5181,29.5802,29.5802,152.152818352,37.660397071,20181003T040559_20181003T041242_T46RGU
5182,7.5359,7.5359,152.631647517,38.4739576954,20181003T040559_20181003T041242_T46RGV
5183,63.9602,63.9602,152.034981075,34.843384854,20181003T040559_20181003T041242_T47RKL
5184,96.8829,96.8829,152.500314793,35.6752960883,20181003T040559_20181003T041242_T47RKM
5185,97.653,97.653,152.939102637,36.5094974222,20181003T040559_20181003T041242_T47RKN
5186,92.265,92.265,153.353475595,37.346762819,20181003T040559_20181003T041242_T47RKP
5187,71.3532,71.3532,153.744505219,38.1864169581,20181003T040559_20181003T041242_T47RKQ
5188,66.2201,66.2201,153.647783977,34.4514773955,20181003T040559_20181003T041242_T47RLL
5189,78.7806,78.7806,154.100685286,35.2902470282,20181003T040559_20181003T041242_T47RLM
5190,96.2991,96.2991,154.528113605,36.1309675814,20181003T040559_20181003T041242_T47RLN
5191,99.2589,99.2589,154.932134567,36.9744541573,20181003T040559_20181003T041242_T47RLP
5192,82.6059,82.6059,155.313852076,37.8200381011,20181003T040559_20181003T041242_T47RLQ
5193,47.2184,47.2184,155.72725921,34.9209404843,20181003T040559_20181003T041242_T47RMM
5194,82.8619,82.8619,156.141756413,35.7678066532,20181003T040559_20181003T041242_T47RMN
5195,99.1246,99.1246,156.533964926,36.6171474837,20181003T040559_20181003T041242_T47RMP
5196,85.2345,85.2345,156.905049157,37.4682937327,20181003T040559_20181003T041242_T47RMQ
5197,12.2584,12.2584,158.159964016,36.2749700677,20181003T040559_20181003T041242_T47RNP
5198,46.0202,46.0202,154.113329313,39.0277619242,20181003T040559_20181003T041242_T47SKR
5199,76.3607,76.3607,155.674406662,38.667035924,20181003T040559_20181003T041242_T47SLR
5200,58.886,58.886,156.015392368,39.5163222401,20181003T040559_20181003T041242_T47SLS
5201,71.4016,71.4016,157.256108169,38.3205842596,20181003T040559_20181003T041242_T47SMR
5202,55.6161,55.6161,157.588747547,39.1749080181,20181003T040559_20181003T041242_T47SMS
5203,64.5912,64.5912,150.960147521,35.5661382429,20181004T042701_20181004T043243_T46RBR
5204,40.1691,40.1691,151.43336074,36.3913282555,20181004T042701_20181004T043243_T46RBS
5205,9.0593,9.0593,151.880256338,37.2189688993,20181004T042701_20181004T043243_T46RBT
5206,6.1321,6.1321,152.302722613,38.0498711927,20181004T042701_20181004T043243_T46RBU
5207,3.9394,3.9394,152.043127948,34.3296826935,20181004T042701_20181004T043243_T46RCQ
5208,67.8291,67.8291,152.532731967,35.158912702,20181004T042701_20181004T043243_T46RCR
5209,66.5903,66.5903,152.995499727,35.9910069162,20181004T042701_20181004T043243_T46RCS
5210,33.3269,33.3269,153.432823231,36.8252388781,20181004T042701_20181004T043243_T46RCT
5211,54.2753,54.2753,153.846647162,37.662428581,20181004T042701_20181004T043243_T46RCU
5212,69.537,69.537,154.238098439,38.5018844826,20181004T042701_20181004T043243_T46RCV
5213,2.1346,2.1346,153.656429344,33.9309833179,20181004T042701_20181004T043243_T46RDQ
5214,56.4147,56.4147,154.132901288,34.767115394,20181004T042701_20181004T043243_T46RDR
5215,57.2711,57.2711,154.583592107,35.6057682386,20181004T042701_20181004T043243_T46RDS
5216,50.2537,50.2537,155.009823616,36.4462510429,20181004T042701_20181004T043243_T46RDT
5217,61.5666,61.5666,155.413620607,37.2893860506,20181004T042701_20181004T043243_T46RDU
