,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,Systemindex
0,13.0293,13.029299999999997,157.019903011046,54.112950149725,20220101T043149_20220101T043421_T46RBR
1,2.8161,2.8161,157.184244904634,54.9720264399405,20220101T043149_20220101T043421_T46RBS
2,0.0,0.0,157.338676051164,55.8313486612307,20220101T043149_20220101T043421_T46RBT
3,0.0,0.0,157.483670679179,56.6918949600413,20220101T043149_20220101T043421_T46RBU
4,82.2824,82.2824,157.908654525571,52.9263123821812,20220101T043149_20220101T043421_T46RCQ
5,7.5345,7.5344999999999995,158.082597302374,53.7875480925667,20220101T043149_20220101T043421_T46RCR
6,3.8963,3.8963000000000005,158.246973641096,54.6494803247082,20220101T043149_20220101T043421_T46RCS
7,0.4418,0.4418,158.402046621084,55.511527324235,20220101T043149_20220101T043421_T46RCT
8,0.3261,0.3261,158.548276422376,56.374681155666,20220101T043149_20220101T043421_T46RCU
9,1.3981,1.3981,158.685850198509,57.2383738340197,20220101T043149_20220101T043421_T46RCV
10,73.9808,73.9808,158.981863359755,52.6067864451735,20220101T043149_20220101T043421_T46RDQ
11,21.7535,21.7535,159.154884318201,53.4707463402286,20220101T043149_20220101T043421_T46RDR
12,1.5237,1.5237,159.318939301274,54.3352796916373,20220101T043149_20220101T043421_T46RDS
13,0.5868,0.5868,159.474320351345,55.1998010597846,20220101T043149_20220101T043421_T46RDT
14,0.1816,0.1816,159.621477433983,56.065313441065,20220101T043149_20220101T043421_T46RDU
15,12.4457,12.4457,160.065789605835,52.2960050325802,20220101T043149_20220101T043421_T46REQ
16,14.5067,14.506699999999999,160.237521673609,53.1624194123441,20220101T043149_20220101T043421_T46RER
17,7.6638,7.663799999999999,160.400899786473,54.0292916275497,20220101T043149_20220101T043421_T46RES
18,0.0096,0.0096,160.556238904171,54.8960342962041,20220101T043149_20220101T043421_T46RET
19,0.0415,0.0415,160.704009957661,55.7636508641778,20220101T043149_20220101T043421_T46REU
20,1.9943,1.9943000000000002,160.8444343006,56.6315728875727,20220101T043149_20220101T043421_T46REV
21,0.4186,0.41859999999999997,161.794639072303,55.4701102119841,20220101T043149_20220101T043421_T46RFU
22,0.0337,0.0337,161.936033567088,56.3397645049434,20220101T043149_20220101T043421_T46RFV
23,12.6896,12.6896,162.070916512464,57.2090675911532,20220101T043149_20220101T043421_T46SFA
24,23.1339,23.1339,162.199759335974,58.0790168331959,20220101T043149_20220101T043421_T46SFB
25,0.622,0.622,156.481195266694,55.1301817821799,20220102T040149_20220102T040144_T47RLM
26,3.3977,3.3977,157.536645111646,54.7902087882081,20220102T040149_20220102T040144_T47RMM
27,1.0942,1.0942,157.707164741541,55.646217981874,20220102T040149_20220102T040144_T47RMN
28,0.1186,0.11859999999999998,157.868909250668,56.5033436690758,20220102T040149_20220102T040144_T47RMP
29,0.2337,0.2337,158.022054336877,57.3610253330985,20220102T040149_20220102T040144_T47RMQ
30,0.0,0.0,158.773765359258,55.3165244272785,20220102T040149_20220102T040144_T47RNN
31,0.287,0.287,158.936809740275,56.1759389900439,20220102T040149_20220102T040144_T47RNP
32,29.7024,29.702400000000004,156.008602314377,53.3644011813032,20220103T042151_20220103T042349_T46RDQ
33,33.9918,33.9918,156.20819053281,54.2134542266269,20220103T042151_20220103T042349_T46RDR
34,95.3647,95.36469999999998,156.397804314953,55.0633494320166,20220103T042151_20220103T042349_T46RDS
35,87.4966,87.4966,157.063937844451,53.0103150295614,20220103T042151_20220103T042349_T46REQ
36,53.7532,53.7532,157.263535314123,53.8621542950664,20220103T042151_20220103T042349_T46RER
37,89.6725,89.6725,157.453737987141,54.7146990323931,20220103T042151_20220103T042349_T46RES
38,91.8438,91.84379999999999,157.634845648309,55.5673617488282,20220103T042151_20220103T042349_T46RET
39,85.2157,85.2157,157.80740095272,56.4211128662333,20220103T042151_20220103T042349_T46REU
40,90.2319,90.23189999999998,157.971615860764,57.2753847499204,20220103T042151_20220103T042349_T46REV
41,98.0806,98.0806,158.328862441623,53.5192351756462,20220103T042151_20220103T042349_T46RFR
42,85.9907,85.9907,158.519278510375,54.3741824990506,20220103T042151_20220103T042349_T46RFS
43,91.87,91.87,158.701167555106,55.2291300838495,20220103T042151_20220103T042349_T46RFT
44,86.9075,86.9075,158.875128987298,56.0850398565877,20220103T042151_20220103T042349_T46RFU
45,54.4081,54.4081,159.041353278302,56.9413552514098,20220103T042151_20220103T042349_T46RFV
46,99.8754,99.8754,159.402995846864,53.1851585161845,20220103T042151_20220103T042349_T46RGR
47,88.3821,88.3821,159.593227818148,54.0422567886254,20220103T042151_20220103T042349_T46RGS
48,88.0566,88.0566,159.775531828427,54.8992368594283,20220103T042151_20220103T042349_T46RGT
49,69.3641,69.3641,159.950553815962,55.757056228098,20220103T042151_20220103T042349_T46RGU
50,18.7358,18.7358,160.11845405809,56.6151705404866,20220103T042151_20220103T042349_T46RGV
51,83.6327,83.6327,159.200069122664,57.7975100365791,20220103T042151_20220103T042349_T46SFA
52,38.9348,38.9348,159.351779910941,58.6544794649682,20220103T042151_20220103T042349_T46SFB
53,35.4451,35.4451,160.279511380375,57.4730042538077,20220103T042151_20220103T042349_T46SGA
